title	link	original_name_and_year	country and genre	
         Россия,
         реж. Владимир Потапов
         (драма, история, военный)
      "
Квартет;https://www.kinopoisk.ru/level/1/film/467152/;Quartet (2012) 98 мин.;"
         Великобритания,
         реж. Дастин Хоффман
         (драма, комедия)
      "
Леди;https://www.kinopoisk.ru/level/1/film/574315/;The Lady (2011) 132 мин.;"
         Франция...
         реж. Люк Бессон
         (драма, мелодрама, биография...)
      "
Любители истории;https://www.kinopoisk.ru/level/1/film/160933/;The History Boys (2006) 109 мин.;"
         Великобритания,
         реж. Николас Хайтнер
         (драма, мелодрама, комедия)
      "
Клетка;https://www.kinopoisk.ru/level/1/film/630/;The Cell (2000) 107 мин.;"
         США...
         реж. Тарсем Сингх
         (ужасы, фантастика, триллер)
      "
Ларс и настоящая девушка;https://www.kinopoisk.ru/level/1/film/256497/;Lars and the Real Girl (2007) 106 мин.;"
         США...
         реж. Крэйг Гиллеспи
         (драма, мелодрама, комедия)
      "
Я киборг, но это нормально;https://www.kinopoisk.ru/level/1/film/264351/;Ssaibogeujiman gwaenchanha (2006) 105 мин.;"
         Корея Южная,
         реж. Пак Чхан-ук
         (драма, мелодрама, комедия)
      "
Книга джунглей;https://www.kinopoisk.ru/level/1/film/1723/;The Jungle Book (1994) 111 мин.;"
         США,
         реж. Стивен Соммерс
         (мелодрама, приключения, семейный)
      "
Безумие;https://www.kinopoisk.ru/level/1/film/220636/;Šílení (2005) 118 мин.;"
         Чехия...
         реж. Ян Шванкмайер
         (ужасы, драма)
      "
Пила 3;https://www.kinopoisk.ru/level/1/film/184417/;Saw III (2006) 108 мин.;"
         Канада...
         реж. Даррен Линн Боусман
         (ужасы, триллер, детектив...)
      "
Лига Справедливости: Кризис двух миров  (видео);https://www.kinopoisk.ru/level/1/film/475307/;Justice League: Crisis on Two Earths (2010) 75 мин.;"
         США,
         реж. Сэм Лью...
         (мультфильм, фантастика, фэнтези...)
      "
Джонни Д.;https://www.kinopoisk.ru/level/1/film/400599/;Public Enemies (2009) 140 мин.;"
         США...
         реж. Майкл Манн
         (драма, криминал, биография...)
      "
Час расплаты;https://www.kinopoisk.ru/level/1/film/8085/;Paycheck (2003) 119 мин.;"
         США...
         реж. Джон Ву
         (фантастика, боевик, триллер...)
      "
Мартовские иды;https://www.kinopoisk.ru/level/1/film/462482/;The Ides of March (2011) 101 мин.;"
         США,
         реж. Джордж Клуни
         (триллер, драма)
      "
Шоссе;https://www.kinopoisk.ru/level/1/film/4741/;Freeway (1996) 102 мин.;"
         США...
         реж. Мэттью Брайт
         (триллер, драма, комедия...)
      "
Под песком;https://www.kinopoisk.ru/level/1/film/24968/;Sous le sable (2000) 92 мин.;"
         Франция...
         реж. Франсуа Озон
         (драма, детектив)
      "
Телепорт;https://www.kinopoisk.ru/level/1/film/220589/;Jumper (2008) 88 мин.;"
         США...
         реж. Даг Лайман
         (фантастика, боевик, триллер...)
      "
Нимфоманка: Часть 1;https://www.kinopoisk.ru/level/1/film/669260/;Nymphomaniac: Vol. I (2013) 117 мин.;"
         Дания...
         реж. Ларс фон Триер
         (драма)
      "
Питер FM;https://www.kinopoisk.ru/level/1/film/252063/; (2006) 86 мин.;"
         Россия,
         реж. Оксана Бычкова
         (мелодрама, комедия)
      "
Рискованный бизнес;https://www.kinopoisk.ru/level/1/film/3928/;Risky Business (1983) 99 мин.;"
         США,
         реж. Пол Брикман
         (драма, мелодрама, комедия...)
      "
Цыпленок с черносливом;https://www.kinopoisk.ru/level/1/film/523069/;Poulet aux prunes (2011) 93 мин.;"
         Франция...
         реж. Венсан Паронно...
         (драма, комедия)
      "
Добро пожаловать в кукольный дом;https://www.kinopoisk.ru/level/1/film/22972/;Welcome to the Dollhouse (1995) 88 мин.;"
         США,
         реж. Тодд Солондз
         (драма, комедия)
      "
Мой король;https://www.kinopoisk.ru/level/1/film/821508/;Mon roi (2015) 124 мин.;"
         Франция,
         реж. Майвенн
         (драма, мелодрама)
      "
Необыкновенная история на Рождество;https://www.kinopoisk.ru/level/1/film/1017967/;The Man Who Invented Christmas (2017) 104 мин.;"
         Ирландия...
         реж. Бхарат Наллури
         (драма, комедия, биография)
      "
Лего Фильм: Бэтмен;https://www.kinopoisk.ru/level/1/film/843480/;The Lego Batman Movie (2017) 104 мин.;"
         США...
         реж. Крис МакКей
         (мультфильм, боевик, комедия...)
      "
Девственницы-самоубийцы;https://www.kinopoisk.ru/level/1/film/7311/;The Virgin Suicides (1999) 97 мин.;"
         США,
         реж. София Коппола
         (драма, мелодрама)
      "
Мой домашний динозавр;https://www.kinopoisk.ru/level/1/film/252030/;The Water Horse (2007) 112 мин.;"
         Новая Зеландия...
         реж. Джей Расселл
         (фэнтези, приключения, семейный)
      "
Белый клык;https://www.kinopoisk.ru/level/1/film/989837/;Croc-Blanc (2018) 85 мин.;"
         Франция...
         реж. Александр Эспигарес
         (мультфильм, приключения)
      "
Свинарка и пастух;https://www.kinopoisk.ru/level/1/film/44057/; (1941) 87 мин.;"
         СССР,
         реж. Иван Пырьев
         (мюзикл, мелодрама)
      "
Черный шар;https://www.kinopoisk.ru/level/1/film/268593/;The Black Balloon (2008) 97 мин.;"
         Австралия...
         реж. Элисса Даун
         (драма, мелодрама)
      "
И целого мира мало;https://www.kinopoisk.ru/level/1/film/6585/;The World Is Not Enough (1999) 128 мин.;"
         Великобритания...
         реж. Майкл Аптед
         (боевик, триллер, криминал...)
      "
За пропастью во ржи;https://www.kinopoisk.ru/level/1/film/930962/;Rebel in the Rye (2016) 106 мин.;"
         США,
         реж. Дэнни Стронг
         (драма, мелодрама, военный...)
      "
Смертный приговор;https://www.kinopoisk.ru/level/1/film/256164/;Death Sentence (2007) 105 мин.;"
         США,
         реж. Джеймс Ван
         (боевик, триллер, драма...)
      "
Будь что будет;https://www.kinopoisk.ru/level/1/film/404333/;Whatever Works (2009) 93 мин.;"
         США...
         реж. Вуди Аллен
         (мелодрама, комедия)
      "
Оборотень;https://www.kinopoisk.ru/level/1/film/680/;Ginger Snaps (2000) 108 мин.;"
         Канада,
         реж. Джон Фоусет
         (ужасы, фэнтези, драма)
      "
Сын полка;https://www.kinopoisk.ru/level/1/film/44067/; (1946) 79 мин.;"
         СССР,
         реж. Василий Пронин
         (драма, военный)
      "
Истории обыкновенного безумия;https://www.kinopoisk.ru/level/1/film/39857/;Storie di ordinaria follia (1981) 108 мин.;"
         Италия...
         реж. Марко Феррери
         (драма)
      "
Схватка;https://www.kinopoisk.ru/level/1/film/503853/;The Grey (2011) 117 мин.;"
         США,
         реж. Джо Карнахан
         (триллер, драма, приключения)
      "
Столкновение с бездной;https://www.kinopoisk.ru/level/1/film/5011/;Deep Impact (1998) 120 мин.;"
         США,
         реж. Мими Ледер
         (фантастика, боевик, триллер...)
      "
Рождественские хроники;https://www.kinopoisk.ru/level/1/film/772380/;The Christmas Chronicles (2018) 104 мин.;"
         США,
         реж. Клэй Кэйтис
         (фэнтези, комедия, приключения...)
      "
Признания опасного человека;https://www.kinopoisk.ru/level/1/film/641/;Confessions of a Dangerous Mind (2002) 113 мин.;"
         США...
         реж. Джордж Клуни
         (триллер, драма, мелодрама...)
      "
Папаша;https://www.kinopoisk.ru/level/1/film/572164/;Starbuck (2011) 109 мин.;"
         Канада,
         реж. Кен Скотт
         (драма, комедия)
      "
Тираннозавр;https://www.kinopoisk.ru/level/1/film/581219/;Tyrannosaur (2011) 92 мин.;"
         Великобритания,
         реж. Пэдди Консидайн
         (драма)
      "
Призрак;https://www.kinopoisk.ru/level/1/film/839960/; (2015) 114 мин.;"
         Россия,
         реж. Александр Войтинский
         (комедия, семейный, фантастика...)
      "
Ип Ман 3;https://www.kinopoisk.ru/level/1/film/762466/;Yip Man 3 (2015) 105 мин.;"
         Китай...
         реж. Уилсон Ип
         (биография, боевик, драма)
      "
Падший;https://www.kinopoisk.ru/level/1/film/6222/;Fallen (1998) 119 мин.;"
         США,
         реж. Грегори Хоблит
         (фэнтези, боевик, триллер...)
      "
Отморозки;https://www.kinopoisk.ru/level/1/film/489453/;Neds (2010) 119 мин.;"
         Великобритания...
         реж. Питер Муллан
         (драма, криминал)
      "
Хеллбой II: Золотая армия;https://www.kinopoisk.ru/level/1/film/81472/;Hellboy II: The Golden Army (2008) 120 мин.;"
         США...
         реж. Гильермо дель Торо
         (ужасы, боевик, фантастика...)
      "
Заложник;https://www.kinopoisk.ru/level/1/film/9543/;Hostage (2005) 113 мин.;"
         США...
         реж. Флоран Эмилио Сири
         (боевик, триллер, драма...)
      "
Мерцающие огни;https://www.kinopoisk.ru/level/1/film/614/;Blinkende lygter (2000) 109 мин.;"
         Дания...
         реж. Андерс Томас Йенсен
         (боевик, комедия, криминал)
      "
Любовь между строк;https://www.kinopoisk.ru/level/1/film/1150547/;Gut gegen Nordwind (2019) 118 мин.;"
         Германия,
         реж. Ванесса Йопп
         (драма, мелодрама)
      "
Порок;https://www.kinopoisk.ru/level/1/film/674/;Frailty (2001) 96 мин.;"
         США...
         реж. Билл Пэкстон
         (детектив, триллер, криминал)
      "
Игрок;https://www.kinopoisk.ru/level/1/film/570/;The Player (1992) 124 мин.;"
         США,
         реж. Роберт Олтмен
         (триллер, драма, мелодрама...)
      "
Алиса в стране чудес  (ТВ);https://www.kinopoisk.ru/level/1/film/77274/;Alice in Wonderland (1999) 150 мин.;"
         Великобритания...
         реж. Ник Уиллинг
         (фэнтези, комедия, приключения...)
      "
Оторва;https://www.kinopoisk.ru/level/1/film/311497/;Wild Child (2008) 94 мин.;"
         США...
         реж. Ник Мур
         (драма, комедия)
      "
Мой маленький пони: Девочки из Эквестрии;https://www.kinopoisk.ru/level/1/film/762360/;My Little Pony: Equestria Girls (2013) 72 мин.;"
         Канада...
         реж. Джейсон Тиссен...
         (мультфильм, мюзикл, фэнтези...)
      "
Неудачники;https://www.kinopoisk.ru/level/1/film/400906/;Micmacs à tire-larigot (2009) 105 мин.;"
         Франция,
         реж. Жан-Пьер Жёне
         (боевик, комедия, криминал)
      "
Осатаневшая;https://www.kinopoisk.ru/level/1/film/520081/;Kim Bok-nam salinsageonui jeonmal (2010) 114 мин.;"
         Корея Южная,
         реж. Чан Чхоль-су
         (триллер, драма, криминал)
      "
Птица с хрустальным оперением;https://www.kinopoisk.ru/level/1/film/38234/;L'uccello dalle piume di cristallo (1970) 98 мин.;"
         Италия...
         реж. Дарио Ардженто
         (ужасы, триллер, детектив)
      "
Ёлки 2;https://www.kinopoisk.ru/level/1/film/573817/; (2011) 96 мин.;"
         Россия,
         реж. Дмитрий Киселёв...
         (мелодрама, комедия, семейный)
      "
Вокруг света за 80 дней;https://www.kinopoisk.ru/level/1/film/6297/;Around the World in 80 Days (2004) 120 мин.;"
         США...
         реж. Фрэнк Корачи
         (боевик, комедия, приключения...)
      "
Арн: Рыцарь-тамплиер;https://www.kinopoisk.ru/level/1/film/266758/;Arn: Tempelriddaren (2007) 139 мин.;"
         Швеция...
         реж. Петер Флинт
         (боевик, драма, мелодрама...)
      "
Бананы;https://www.kinopoisk.ru/level/1/film/12294/;Bananas (1971) 78 мин.;"
         США,
         реж. Вуди Аллен
         (комедия)
      "
Шагреневая кожа  (ТВ);https://www.kinopoisk.ru/level/1/film/490215/;La peau de chagrin (2010) 97 мин.;"
         Франция,
         реж. Ален Берлине
         (фэнтези, триллер, драма)
      "
Кристофер и ему подобные  (ТВ);https://www.kinopoisk.ru/level/1/film/518330/;Christopher and His Kind (2011) 89 мин.;"
         Великобритания,
         реж. Джеффри Сакс
         (драма, мелодрама, биография)
      "
Два ствола;https://www.kinopoisk.ru/level/1/film/464290/;2 Guns (2013) 109 мин.;"
         США,
         реж. Бальтасар Кормакур
         (боевик, триллер, криминал)
      "
Песнь слона;https://www.kinopoisk.ru/level/1/film/842105/;Elephant Song (2014) 110 мин.;"
         Канада,
         реж. Шарль Бинаме
         (драма, триллер)
      "
Братья Систерс;https://www.kinopoisk.ru/level/1/film/968375/;The Sisters Brothers (2018) 122 мин.;"
         Франция...
         реж. Жак Одиар
         (драма, криминал, вестерн)
      "
Королева проклятых;https://www.kinopoisk.ru/level/1/film/22412/;Queen of the Damned (2002) 101 мин.;"
         США...
         реж. Майкл Раймер
         (ужасы, фэнтези, драма)
      "
Тропы;https://www.kinopoisk.ru/level/1/film/683139/;Tracks (2013) 113 мин.;"
         Австралия,
         реж. Джон Кёрран
         (драма, биография)
      "
Человек из Подольска;https://www.kinopoisk.ru/level/1/film/1395841/; (2020) 92 мин.;"
         Россия,
         реж. Семён Серзин
         (комедия, драма)
      "
Красный отель;https://www.kinopoisk.ru/level/1/film/271878/;L'auberge rouge (2007) 91 мин.;"
         Франция,
         реж. Жерар Кравчик
         (комедия, криминал)
      "
Корабельные новости;https://www.kinopoisk.ru/level/1/film/830/;The Shipping News (2001) 111 мин.;"
         Канада...
         реж. Лассе Халльстрём
         (драма)
      "
Планкетт и Маклейн;https://www.kinopoisk.ru/level/1/film/3609/;Plunkett & Macleane (1999) 99 мин.;"
         Великобритания,
         реж. Джейк Скотт
         (боевик, драма, комедия...)
      "
Потрошители;https://www.kinopoisk.ru/level/1/film/391277/;Repo Men (2009) 111 мин.;"
         США,
         реж. Мигель Сапочник
         (фантастика, боевик, триллер)
      "
Жизнь Адель;https://www.kinopoisk.ru/level/1/film/669902/;La vie d'Adèle (2013) 179 мин.;"
         Франция...
         реж. Абделатиф Кешиш
         (драма, мелодрама)
      "
Как быть мужиком;https://www.kinopoisk.ru/level/1/film/810897/;How to Be a Man (2013) 86 мин.;"
         США,
         реж. Чадд Харбольд
         (комедия)
      "
Мой друг мистер Персиваль;https://www.kinopoisk.ru/level/1/film/809823/;Storm Boy (2019) 99 мин.;"
         Австралия,
         реж. Шон Сит
         (драма, семейный)
      "
Живите в радости;https://www.kinopoisk.ru/level/1/film/45327/; (1978) 76 мин.;"
         СССР,
         реж. Леонид Миллионщиков
         (комедия)
      "
Час пик 3;https://www.kinopoisk.ru/level/1/film/22978/;Rush Hour 3 (2007) 91 мин.;"
         США...
         реж. Бретт Рэтнер
         (боевик, триллер, комедия...)
      "
Станция «Фрутвейл»;https://www.kinopoisk.ru/level/1/film/675570/;Fruitvale Station (2013) 90 мин.;"
         США,
         реж. Райан Куглер
         (драма, мелодрама, криминал...)
      "
Темная гавань;https://www.kinopoisk.ru/level/1/film/6613/;Dark Harbor (1998) 84 мин.;"
         США,
         реж. Адам Коулмэн Ховард
         (триллер, драма)
      "
Планета обезьян: Революция;https://www.kinopoisk.ru/level/1/film/646674/;Dawn of the Planet of the Apes (2014) 130 мин.;"
         США...
         реж. Мэтт Ривз
         (фантастика, боевик, драма)
      "
Девушка из Джерси;https://www.kinopoisk.ru/level/1/film/5526/;Jersey Girl (2004) 98 мин.;"
         США,
         реж. Кевин Смит
         (драма, мелодрама, комедия)
      "
Доказательство;https://www.kinopoisk.ru/level/1/film/47055/;Proof (2004) 100 мин.;"
         США,
         реж. Джон Мэдден
         (драма, детектив)
      "
Воспитание Аризоны;https://www.kinopoisk.ru/level/1/film/2796/;Raising Arizona (1987) 94 мин.;"
         США,
         реж. Джоэл Коэн...
         (комедия, криминал, приключения)
      "
Лучшие враги;https://www.kinopoisk.ru/level/1/film/920082/;The Best of Enemies (2019) 133 мин.;"
         США,
         реж. Робин Бисселл
         (драма, биография, история)
      "
Всемирная история, часть 1;https://www.kinopoisk.ru/level/1/film/1848/;History of the World: Part I (1981) 92 мин.;"
         США,
         реж. Мэл Брукс
         (мюзикл, комедия, история)
      "
Молодые стрелки;https://www.kinopoisk.ru/level/1/film/4752/;Young Guns (1988) 107 мин.;"
         США,
         реж. Кристофер Кэйн
         (боевик, вестерн)
      "
Парк Юрского периода 2: Затерянный мир;https://www.kinopoisk.ru/level/1/film/1060/;The Lost World: Jurassic Park (1997) 123 мин.;"
         США,
         реж. Стивен Спилберг
         (фантастика, боевик, приключения)
      "
Национальная безопасность;https://www.kinopoisk.ru/level/1/film/5325/;National Security (2003) 88 мин.;"
         США,
         реж. Деннис Дуган
         (боевик, триллер, комедия...)
      "
Опасные пассажиры поезда 123;https://www.kinopoisk.ru/level/1/film/400582/;The Taking of Pelham 123 (2009) 102 мин.;"
         США...
         реж. Тони Скотт
         (триллер, боевик, криминал)
      "
Аферисты Дик и Джейн;https://www.kinopoisk.ru/level/1/film/61438/;Fun with Dick and Jane (2005) 90 мин.;"
         США,
         реж. Дин Паризо
         (комедия, криминал)
      "
Американский пирог 3: Свадьба;https://www.kinopoisk.ru/level/1/film/4300/;American Wedding (2003) 99 мин.;"
         США...
         реж. Джесси Дилан
         (комедия)
      "
Ларго Винч: Начало;https://www.kinopoisk.ru/level/1/film/274730/;Largo Winch (2008) 108 мин.;"
         Франция...
         реж. Жером Салль
         (боевик, триллер, приключения)
      "
Люби их всех;https://www.kinopoisk.ru/level/1/film/1142667/; (2019) 100 мин.;"
         Россия,
         реж. Мария Агранович
         (драма, триллер)
      "
Мама не горюй;https://www.kinopoisk.ru/level/1/film/41595/; (1997) 83 мин.;"
         Россия,
         реж. Максим Пежемский
         (комедия, криминал)
      "
Скейтбордисты;https://www.kinopoisk.ru/level/1/film/8013/;Grind (2003) 105 мин.;"
         США,
         реж. Кэйси Ла Скала
         (комедия, приключения, спорт)
      "
Жестокий ручей;https://www.kinopoisk.ru/level/1/film/41931/;Mean Creek (2004) 87 мин.;"
         США,
         реж. Джейкоб Аарон Эстес
         (драма, криминал)
      "
Закатать в асфальт;https://www.kinopoisk.ru/level/1/film/1040748/;Dragged Across Concrete (2018) 158 мин.;"
         Канада...
         реж. С. Крэйг Залер
         (боевик, триллер, драма...)
      "
Возмездие;https://www.kinopoisk.ru/level/1/film/623765/;The Railway Man (2013) 116 мин.;"
         Австралия...
         реж. Джонатан Теплицки
         (драма, мелодрама, военный...)
      "
Я – убийца;https://www.kinopoisk.ru/level/1/film/715320/;Naega salinbeomida (2012) 120 мин.;"
         Корея Южная,
         реж. Чон Бён-гиль
         (боевик, триллер, криминал...)
      "
Субмарино;https://www.kinopoisk.ru/level/1/film/433285/;Submarino (2010) 105 мин.;"
         Дания...
         реж. Томас Винтерберг
         (драма)
      "
Яма;https://www.kinopoisk.ru/level/1/film/700/;The Hole (2001) 102 мин.;"
         Великобритания,
         реж. Ник Хэмм
         (триллер, драма, детектив)
      "
Фрэнк;https://www.kinopoisk.ru/level/1/film/506058/;Frank (2013) 95 мин.;"
         Великобритания...
         реж. Леонард Абрахамсон
         (драма, комедия)
      "
Призрачная нить;https://www.kinopoisk.ru/level/1/film/991628/;Phantom Thread (2017) 130 мин.;"
         США...
         реж. Пол Томас Андерсон
         (драма, мелодрама)
      "
Омен 2: Дэмиен;https://www.kinopoisk.ru/level/1/film/2303/;Damien: Omen II (1978) 107 мин.;"
         Великобритания...
         реж. Дон Тейлор...
         (ужасы)
      "
Тонкая штучка;https://www.kinopoisk.ru/level/1/film/40764/; (1999) 83 мин.;"
         Россия,
         реж. Александр Полынников
         (боевик, комедия, криминал...)
      "
Американские горки;https://www.kinopoisk.ru/level/1/film/4165/;Switchback (1997) 118 мин.;"
         США,
         реж. Джеб Стюарт
         (триллер, криминал, детектив)
      "
Меланхолия;https://www.kinopoisk.ru/level/1/film/484488/;Melancholia (2011) 130 мин.;"
         Дания...
         реж. Ларс фон Триер
         (фантастика, драма)
      "
Двойной удар;https://www.kinopoisk.ru/level/1/film/28130/;Double Impact (1991) 118 мин.;"
         США,
         реж. Шелдон Леттич
         (боевик, криминал)
      "
Голод;https://www.kinopoisk.ru/level/1/film/9418/;The Hunger (1983) 97 мин.;"
         Великобритания...
         реж. Тони Скотт
         (ужасы, триллер, драма...)
      "
Багровый прилив;https://www.kinopoisk.ru/level/1/film/5332/;Crimson Tide (1995) 116 мин.;"
         США,
         реж. Тони Скотт
         (боевик, триллер, драма...)
      "
Матиас и Максим;https://www.kinopoisk.ru/level/1/film/1178613/;Matthias et Maxime (2019) 120 мин.;"
         Канада...
         реж. Ксавье Долан
         (драма)
      "
Инди;https://www.kinopoisk.ru/level/1/film/280154/; (2007) 92 мин.;"
         Россия...
         реж. Александр Кириенко
         (драма, мелодрама)
      "
Ворон;https://www.kinopoisk.ru/level/1/film/470268/;The Raven (2011) 110 мин.;"
         США...
         реж. Джеймс МакТиг
         (триллер, криминал, детектив)
      "
Скины;https://www.kinopoisk.ru/level/1/film/12252/;Romper Stomper (1992) 94 мин.;"
         Австралия,
         реж. Джеффри Райт
         (боевик, драма, криминал)
      "
История одного назначения;https://www.kinopoisk.ru/level/1/film/1046035/; (2018) 112 мин.;"
         Россия,
         реж. Авдотья Смирнова
         (драма)
      "
Дублер;https://www.kinopoisk.ru/level/1/film/102308/;La doublure (2006) 85 мин.;"
         Франция...
         реж. Франсис Вебер
         (драма, комедия)
      "
Мелкие мошенники;https://www.kinopoisk.ru/level/1/film/834/;Small Time Crooks (2000) 94 мин.;"
         США,
         реж. Вуди Аллен
         (комедия, криминал)
      "
Дом, который построил Джек;https://www.kinopoisk.ru/level/1/film/942396/;The House That Jack Built (2018) 152 мин.;"
         Дания...
         реж. Ларс фон Триер
         (ужасы, триллер, драма...)
      "
Оно  (ТВ);https://www.kinopoisk.ru/level/1/film/94983/;It (1990-1990) 192 мин.;"
         США...
         реж. Томми Ли Уоллес
         (ужасы, триллер, драма...)
      "
Другая Земля;https://www.kinopoisk.ru/level/1/film/489752/;Another Earth (2011) 92 мин.;"
         США,
         реж. Майк Кэхилл
         (фантастика, драма, мелодрама)
      "
Пятница;https://www.kinopoisk.ru/level/1/film/4809/;Friday (1995) 91 мин.;"
         США,
         реж. Ф. Гэри Грей
         (драма, комедия)
      "
Грязные прелести;https://www.kinopoisk.ru/level/1/film/7995/;Dirty Pretty Things (2002) 97 мин.;"
         Великобритания,
         реж. Стивен Фрирз
         (триллер, драма, криминал)
      "
Мой сводный брат Франкенштейн;https://www.kinopoisk.ru/level/1/film/84317/; (2004) 111 мин.;"
         Россия,
         реж. Валерий Тодоровский
         (драма)
      "
Айрис;https://www.kinopoisk.ru/level/1/film/714/;Iris (2001) 91 мин.;"
         Великобритания...
         реж. Ричард Эйр
         (драма, мелодрама, биография)
      "
Нога;https://www.kinopoisk.ru/level/1/film/41572/; (1991) 87 мин.;"
         СССР,
         реж. Никита Тягунов
         (боевик, драма, военный)
      "
Незваные;https://www.kinopoisk.ru/level/1/film/279129/;The Uninvited (2008) 87 мин.;"
         США...
         реж. Чарли Гард...
         (ужасы, триллер, драма...)
      "
Гриффины: Там, там, на темной стороне  (видео);https://www.kinopoisk.ru/level/1/film/487547/;Family Guy: Something, something, something, Dark Side (2009) 54 мин.;"
         США,
         реж. Доминик Полчино...
         (мультфильм, комедия)
      "
Ночные игры;https://www.kinopoisk.ru/level/1/film/737859/;Game Night (2018) 100 мин.;"
         США,
         реж. Джон Фрэнсис Дейли...
         (боевик, триллер, комедия...)
      "
Нью-Йорк, я люблю тебя;https://www.kinopoisk.ru/level/1/film/280540/;New York, I Love You (2008) 103 мин.;"
         США...
         реж. Фатих Акин...
         (мелодрама, драма, комедия)
      "
Территория;https://www.kinopoisk.ru/level/1/film/601933/; (2014) 157 мин.;"
         Россия,
         реж. Александр Мельник
         (драма, приключения)
      "
Смерть на похоронах;https://www.kinopoisk.ru/level/1/film/256498/;Death at a Funeral (2007) 90 мин.;"
         США...
         реж. Фрэнк Оз
         (комедия)
      "
Флаги наших отцов;https://www.kinopoisk.ru/level/1/film/81290/;Flags of Our Fathers (2006) 135 мин.;"
         США,
         реж. Клинт Иствуд
         (боевик, драма, приключения...)
      "
Никогда не говори «никогда»;https://www.kinopoisk.ru/level/1/film/7282/;Never Say Never Again (1983) 134 мин.;"
         Великобритания...
         реж. Ирвин Кершнер
         (боевик, триллер, приключения)
      "
Хороший, плохой, долбанутый;https://www.kinopoisk.ru/level/1/film/314239/;Joheunnom nappeunnom isanghannom (2008) 135 мин.;"
         Корея Южная,
         реж. Ким Джи-ун
         (вестерн, комедия, боевик...)
      "
Розовая пантера;https://www.kinopoisk.ru/level/1/film/13532/;The Pink Panther (1963) 114 мин.;"
         США,
         реж. Блейк Эдвардс
         (мелодрама, комедия, криминал)
      "
LOL [ржунимагу];https://www.kinopoisk.ru/level/1/film/409410/;LOL (Laughing Out Loud) ® (2008) 103 мин.;"
         Франция,
         реж. Лиза Азуэлос
         (мелодрама, комедия)
      "
Сиротский Бруклин;https://www.kinopoisk.ru/level/1/film/837737/;Motherless Brooklyn (2019) 144 мин.;"
         США,
         реж. Эдвард Нортон
         (драма, криминал, детектив)
      "
В чужом ряду;https://www.kinopoisk.ru/level/1/film/632/;Changing Lanes (2002) 98 мин.;"
         США,
         реж. Роджер Мишелл
         (триллер, драма)
      "
Милашка в розовом;https://www.kinopoisk.ru/level/1/film/2465/;Pretty in Pink (1986) 97 мин.;"
         США,
         реж. Ховард Дойч
         (мелодрама, комедия, драма)
      "
Жена;https://www.kinopoisk.ru/level/1/film/891414/;The Wife (2017) 99 мин.;"
         Великобритания...
         реж. Бьёрн Рунге
         (драма)
      "
Ноэль;https://www.kinopoisk.ru/level/1/film/64451/;Noel (2004) 96 мин.;"
         США...
         реж. Чазз Пальминтери
         (драма)
      "
Миссия: невыполнима 3;https://www.kinopoisk.ru/level/1/film/9552/;Mission: Impossible III (2006) 126 мин.;"
         США...
         реж. Джей Джей Абрамс
         (боевик, триллер, приключения)
      "
Зачарованная;https://www.kinopoisk.ru/level/1/film/106165/;Enchanted (2007) 103 мин.;"
         США,
         реж. Кевин Лима
         (комедия, фэнтези, мультфильм...)
      "
В погоне за Эми;https://www.kinopoisk.ru/level/1/film/11017/;Chasing Amy (1996) 113 мин.;"
         США,
         реж. Кевин Смит
         (драма, мелодрама, комедия)
      "
Дневной свет;https://www.kinopoisk.ru/level/1/film/5506/;Daylight (1996) 114 мин.;"
         США,
         реж. Роб Коэн
         (боевик, триллер, драма...)
      "
Побег из Нью-Йорка;https://www.kinopoisk.ru/level/1/film/4404/;Escape from New York (1981) 99 мин.;"
         США...
         реж. Джон Карпентер
         (фантастика, боевик, приключения)
      "
Проект Флорида;https://www.kinopoisk.ru/level/1/film/998317/;The Florida Project (2017) 111 мин.;"
         США,
         реж. Шон Бэйкер
         (драма)
      "
Скрытые;https://www.kinopoisk.ru/level/1/film/5195/;The Hidden (1987) 97 мин.;"
         США,
         реж. Джек Шолдер
         (детектив, ужасы, фантастика...)
      "
Марш-бросок;https://www.kinopoisk.ru/level/1/film/41601/; (2003) 102 мин.;"
         Россия,
         реж. Николай Стамбула
         (боевик, драма, мелодрама...)
      "
Зимняя вишня;https://www.kinopoisk.ru/level/1/film/45356/; (1985) 91 мин.;"
         СССР,
         реж. Игорь Масленников
         (драма, мелодрама, комедия)
      "
Ведьмы;https://www.kinopoisk.ru/level/1/film/5295/;The Witches (1989) 91 мин.;"
         Великобритания...
         реж. Николас Роуг
         (ужасы, фэнтези, комедия...)
      "
Нью-Йорк, Нью-Йорк;https://www.kinopoisk.ru/level/1/film/77177/;Synecdoche, New York (2008) 124 мин.;"
         США,
         реж. Чарли Кауфман
         (драма)
      "
Правила боя;https://www.kinopoisk.ru/level/1/film/811/;Rules of Engagement (2000) 128 мин.;"
         Великобритания...
         реж. Уильям Фридкин
         (триллер, драма, военный)
      "
Проект X: Дорвались;https://www.kinopoisk.ru/level/1/film/507440/;Project X (2012) 88 мин.;"
         США,
         реж. Нима Нуризаде
         (комедия)
      "
Магия лунного света;https://www.kinopoisk.ru/level/1/film/759558/;Magic in the Moonlight (2014) 98 мин.;"
         США...
         реж. Вуди Аллен
         (драма, мелодрама, комедия)
      "
Всем парням, которых я любила;https://www.kinopoisk.ru/level/1/film/1047400/;To All the Boys I've Loved Before (2018) 99 мин.;"
         США,
         реж. Сьюзен Джонсон
         (драма, мелодрама, комедия)
      "
