title	link	original_name_and_year	country and genre	
Любовь и голуби	https://www.kinopoisk.ru/level/1/film/45146/	 (1984) 107 мин.	"
         СССР,
         реж. Владимир Меньшов
         (мелодрама, комедия)
      "	
Красавица и чудовище	https://www.kinopoisk.ru/level/1/film/540/	Beauty and the Beast (1991) 84 мин.	"
         США,
         реж. Гари Труздейл...
         (мультфильм, мюзикл, фэнтези...)
      "	
Добро пожаловать, или Посторонним вход воспрещен	https://www.kinopoisk.ru/level/1/film/44238/	 (1964) 71 мин.	"
         СССР,
         реж. Элем Климов
         (комедия, семейный)
      "	
Баллада о солдате	https://www.kinopoisk.ru/level/1/film/46019/	 (1959) 89 мин.	"
         СССР,
         реж. Григорий Чухрай
         (драма, мелодрама, военный)
      "	
Франкенштейн: Ли Миллер	https://www.kinopoisk.ru/level/1/film/682385/	Frankenstein (2011) 110 мин.	"
         Великобритания,
         реж. Дэнни Бойл
         (фантастика, драма, мелодрама)
      "	
Шоу Трумана	https://www.kinopoisk.ru/level/1/film/4541/	The Truman Show (1998) 103 мин.	"
         США,
         реж. Питер Уир
         (драма, комедия)
      "	
Ханума  (ТВ)	https://www.kinopoisk.ru/level/1/film/255349/	 (1978) 147 мин.	"
         СССР,
         реж. Георгий Товстоногов
         (мюзикл, комедия)
      "	
Изгой	https://www.kinopoisk.ru/level/1/film/627/	Cast Away (2000) 143 мин.	"
         США,
         реж. Роберт Земекис
         (драма, мелодрама, приключения)
      "	
Игра	https://www.kinopoisk.ru/level/1/film/12198/	The Game (1997) 129 мин.	"
         США,
         реж. Дэвид Финчер
         (триллер, драма, детектив...)
      "	
Ип Ман	https://www.kinopoisk.ru/level/1/film/409507/	Yip Man (2008) 106 мин.	"
         Гонконг...
         реж. Уилсон Ип
         (биография, боевик, драма)
      "	
Дневник памяти	https://www.kinopoisk.ru/level/1/film/3561/	The Notebook (2004) 124 мин.	"
         США,
         реж. Ник Кассаветис
         (драма, мелодрама)
      "	
Отец солдата	https://www.kinopoisk.ru/level/1/film/44218/	 (1964) 87 мин.	"
         СССР,
         реж. Резо Чхеидзе
         (драма, военный)
      "	
В погоне за счастьем	https://www.kinopoisk.ru/level/1/film/104938/	The Pursuit of Happyness (2006) 117 мин.	"
         США,
         реж. Габриэле Муччино
         (драма, биография)
      "	
Человек дождя	https://www.kinopoisk.ru/level/1/film/519/	Rain Man (1988) 133 мин.	"
         США,
         реж. Барри Левинсон
         (драма)
      "	
Брат	https://www.kinopoisk.ru/level/1/film/41519/	 (1997) 100 мин.	"
         Россия,
         реж. Алексей Балабанов
         (драма, криминал, боевик)
      "	
12 стульев	https://www.kinopoisk.ru/level/1/film/46789/	 (1971) 153 мин.	"
         СССР,
         реж. Леонид Гайдай
         (комедия, приключения, криминал)
      "	
Один дома	https://www.kinopoisk.ru/level/1/film/8124/	Home Alone (1990) 103 мин.	"
         США,
         реж. Крис Коламбус
         (комедия, семейный)
      "	
Живые и мертвые	https://www.kinopoisk.ru/level/1/film/45336/	 (1963) 201 мин.	"
         СССР,
         реж. Александр Столпер
         (драма, военный)
      "	
Малыш	https://www.kinopoisk.ru/level/1/film/2127/	The Kid (1921) 68 мин.	"
         США,
         реж. Чарльз Чаплин
         (драма, комедия, семейный)
      "	
Анна Каренина. Мюзикл	https://www.kinopoisk.ru/level/1/film/1181294/	 (2018) 132 мин.	"
         Россия,
         реж. Еджи Шин
         (мюзикл, мелодрама)
      "	
Небесный замок Лапута	https://www.kinopoisk.ru/level/1/film/1846/	Tenkû no shiro Rapyuta (1986) 125 мин.	"
         Япония,
         реж. Хаяо Миядзаки
         (аниме, мультфильм, фантастика...)
      "	
На войне как на войне	https://www.kinopoisk.ru/level/1/film/46285/	 (1968) 90 мин.	"
         СССР,
         реж. Виктор Трегубович
         (военный, драма)
      "	
Блеф	https://www.kinopoisk.ru/level/1/film/10179/	Bluff storia di truffe e di imbroglioni (1976) 110 мин.	"
         Италия,
         реж. Серджио Корбуччи
         (комедия, криминал)
      "	
Легенда о волках	https://www.kinopoisk.ru/level/1/film/958541/	WolfWalkers (2020) 103 мин.	"
         Ирландия...
         реж. Томм Мур...
         (мультфильм, фэнтези, приключения...)
      "	
Друг	https://www.kinopoisk.ru/level/1/film/44302/	 (1987) 83 мин.	"
         СССР,
         реж. Леонид Квинихидзе
         (драма, мелодрама)
      "	
Шумный день	https://www.kinopoisk.ru/level/1/film/43772/	 (1960) 101 мин.	"
         СССР,
         реж. Анатолий Эфрос...
         (мелодрама, комедия)
      "	
Общество мертвых поэтов	https://www.kinopoisk.ru/level/1/film/4996/	Dead Poets Society (1989) 128 мин.	"
         США,
         реж. Питер Уир
         (драма, комедия)
      "	
Гарри Поттер и философский камень	https://www.kinopoisk.ru/level/1/film/689/	Harry Potter and the Sorcerer's Stone (2001) 152 мин.	"
         Великобритания...
         реж. Крис Коламбус
         (фэнтези, приключения, семейный)
      "	
В лес, где мерцают светлячки	https://www.kinopoisk.ru/level/1/film/635553/	Hotarubi no mori e (2011) 45 мин.	"
         Япония,
         реж. Такахиро Омори
         (аниме, мультфильм, мелодрама...)
      "	
Обыкновенное чудо  (ТВ)	https://www.kinopoisk.ru/level/1/film/77282/	 (1978) 137 мин.	"
         СССР,
         реж. Марк Захаров
         (мюзикл, фэнтези, мелодрама...)
      "	
Покровские ворота  (ТВ)	https://www.kinopoisk.ru/level/1/film/77203/	 (1982) 140 мин.	"
         СССР,
         реж. Михаил Козаков
         (мюзикл, драма, мелодрама...)
      "	
Ромео и Джульетта	https://www.kinopoisk.ru/level/1/film/15204/	Romeo and Juliet (1968) 138 мин.	"
         Великобритания...
         реж. Франко Дзеффирелли
         (драма, мелодрама)
      "	
Белые росы	https://www.kinopoisk.ru/level/1/film/46080/	 (1983) 84 мин.	"
         СССР,
         реж. Игорь Добролюбов
         (драма, мелодрама, комедия)
      "	
Нокдаун	https://www.kinopoisk.ru/level/1/film/12244/	Cinderella Man (2005) 144 мин.	"
         США,
         реж. Рон Ховард
         (драма, мелодрама, биография...)
      "	
Остров сокровищ	https://www.kinopoisk.ru/level/1/film/573759/	 (1988) 107 мин.	"
         СССР,
         реж. Давид Черкасский
         (мультфильм, приключения, мюзикл...)
      "	
Как украсть миллион	https://www.kinopoisk.ru/level/1/film/10156/	How to Steal a Million (1966) 123 мин.	"
         США,
         реж. Уильям Уайлер
         (комедия, криминал, мелодрама)
      "	
Как приручить дракона	https://www.kinopoisk.ru/level/1/film/280172/	How to Train Your Dragon (2010) 98 мин.	"
         США,
         реж. Дин ДеБлуа...
         (мультфильм, фэнтези, комедия...)
      "	
Золотой телёнок	https://www.kinopoisk.ru/level/1/film/45389/	 (1968) 164 мин.	"
         СССР,
         реж. Михаил Швейцер
         (комедия)
      "	
Джанго освобожденный	https://www.kinopoisk.ru/level/1/film/586397/	Django Unchained (2012) 165 мин.	"
         США,
         реж. Квентин Тарантино
         (вестерн, боевик, драма...)
      "	
Ирония судьбы, или С легким паром!  (ТВ)	https://www.kinopoisk.ru/level/1/film/77331/	 (1975) 184 мин.	"
         СССР,
         реж. Эльдар Рязанов
         (мелодрама, комедия)
      "	
Русалочка	https://www.kinopoisk.ru/level/1/film/8147/	The Little Mermaid (1989) 83 мин.	"
         США,
         реж. Рон Клементс...
         (мультфильм, мюзикл, фэнтези...)
      "	
Вам и не снилось...	https://www.kinopoisk.ru/level/1/film/45660/	 (1980) 86 мин.	"
         СССР,
         реж. Илья Фрэз
         (драма, мелодрама)
      "	
Убить Билла: Кровавое дело целиком	https://www.kinopoisk.ru/level/1/film/1000020/	Kill Bill: The Whole Bloody Affair (2011) 247 мин.	"
         США,
         реж. Квентин Тарантино
         (боевик, триллер, криминал)
      "	
Освобождение: Последний штурм	https://www.kinopoisk.ru/level/1/film/392541/	 (1971) 75 мин.	"
         СССР,
         реж. Юрий Озеров
         (военный)
      "	
Чудо в камере №7	https://www.kinopoisk.ru/level/1/film/1272494/	Yedinci Kogustaki Mucize (2019) 132 мин.	"
         Турция,
         реж. Мехмет Ада Озтекин
         (драма, комедия, семейный)
      "	
