title;link;original_name_and_year;Country and genre
Девчата;https://www.kinopoisk.ru/film/44168/;1962;СССРмелодрама, комедия
Тайна третьей планеты;https://www.kinopoisk.ru/film/42172/;1981;СССРмультфильм, фантастика
Легенда о волках;https://www.kinopoisk.ru/film/958541/;WolfWalkers, 2020;Ирландия, Люксембургмультфильм, фэнтези
День сурка;https://www.kinopoisk.ru/film/527/;Groundhog Day, 1993;СШАфэнтези, мелодрама
Укрощение строптивого;https://www.kinopoisk.ru/film/63912/;Il bisbetico domato, 1980;Италиямелодрама, комедия
Храброе сердце;https://www.kinopoisk.ru/film/399/;Braveheart, 1995;СШАистория, биография
Игра;https://www.kinopoisk.ru/film/12198/;Game, 1997;СШАтриллер, драма
Зверополис;https://www.kinopoisk.ru/film/775276/;Zootopia, 2016;СШАмультфильм, комедия
Стальной гигант;https://www.kinopoisk.ru/film/538/;Iron Giant, 1999;СШАмультфильм, фантастика
Загадочная история Бенджамина Баттона;https://www.kinopoisk.ru/film/81555/;Curious Case of Benjamin Button, 2008;СШАдрама, фэнтези
Изгой;https://www.kinopoisk.ru/film/627/;Cast Away, 2000;СШАдрама, мелодрама
Семь;https://www.kinopoisk.ru/film/377/;Se7en, 1995;СШАтриллер, драма
Гран Торино;https://www.kinopoisk.ru/film/408410/;Gran Torino, 2008;Германия, СШАдрама
Шрэк 2;https://www.kinopoisk.ru/film/5273/;Shrek 2, 2004;СШАмультфильм, фэнтези
Пролетая над гнездом кукушки;https://www.kinopoisk.ru/film/336/;One Flew Over the Cuckoo's Nest, 1975;СШАдрама
Трасса 60;https://www.kinopoisk.ru/film/3563/;Interstate 60, 2001;Канада, СШАфантастика, фэнтези
Хороший, плохой, злой;https://www.kinopoisk.ru/film/349/;buono, il brutto, il cattivo, Il, 1966;Италия, Испаниявестерн
Мулан;https://www.kinopoisk.ru/film/5277/;Mulan, 1998;СШАмультфильм, мюзикл
Один дома 2: Затерянный в Нью-Йорке;https://www.kinopoisk.ru/film/5928/;Home Alone 2: Lost in New York, 1992;СШАкомедия, семейный
Хоббит: Нежданное путешествие;https://www.kinopoisk.ru/film/278522/;Hobbit: An Unexpected Journey, 2012;Новая Зеландия, СШАфэнтези, приключения
Мальчик в полосатой пижаме;https://www.kinopoisk.ru/film/281251/;Boy in the Striped Pyjamas, 2008;Великобритания, СШАдрама, военный
Пробуждение;https://www.kinopoisk.ru/film/2950/;Awakenings, 1990;СШАдрама, биография
Звёздные войны: Эпизод 5 – Империя наносит ответный удар;https://www.kinopoisk.ru/film/338/;Star Wars: Episode V - The Empire Strikes Back, 1980;СШАфантастика, боевик
Вверх;https://www.kinopoisk.ru/film/325381/;Up, 2009;СШАмультфильм, драма
Добро пожаловать, или Посторонним вход воспрещен;https://www.kinopoisk.ru/film/44238/;1964;СССРкомедия, семейный
Троя;https://www.kinopoisk.ru/film/3442/;Troy, 2004;США, Мальтабоевик, история
Прислуга;https://www.kinopoisk.ru/film/470553/;Help, 2011;СШАдрама
Эффект бабочки;https://www.kinopoisk.ru/film/5167/;Butterfly Effect, 2003;США, Канадафантастика, триллер
Запах женщины;https://www.kinopoisk.ru/film/4871/;Scent of a Woman, 1992;СШАдрама
Мой сосед Тоторо;https://www.kinopoisk.ru/film/8221/;Tonari no Totoro, 1988;Японияаниме, мультфильм
По соображениям совести;https://www.kinopoisk.ru/film/649917/;Hacksaw Ridge, 2016;Австралия, СШАдрама, военный
Бесславные ублюдки;https://www.kinopoisk.ru/film/9691/;Inglourious Basterds, 2009;США, Германиябоевик, драма
Летят журавли;https://www.kinopoisk.ru/film/7724/;1957;СССРвоенный, мелодрама
Тот самый Мюнхгаузен;https://www.kinopoisk.ru/film/77283/;1979;СССРфэнтези, драма
Достать ножи;https://www.kinopoisk.ru/film/1188529/;Knives Out, 2019;СШАдетектив, комедия
Три билборда на границе Эббинга, Миссури;https://www.kinopoisk.ru/film/944098/;Three Billboards Outside Ebbing, Missouri, 2017;Великобритания, СШАдрама, криминал
Аладдин;https://www.kinopoisk.ru/film/2361/;Aladdin, 1992;СШАмультфильм, мюзикл
Однажды в Америке;https://www.kinopoisk.ru/film/469/;Once Upon a Time in America, 1983;США, Италиядрама, криминал
Крестный отец 2;https://www.kinopoisk.ru/film/327/;Godfather: Part II, 1974;СШАдрама, криминал
Счастливое число Слевина;https://www.kinopoisk.ru/film/86326/;Lucky Number Slevin, 2005;Германия, Великобританиябоевик, триллер
Звёздные войны: Эпизод 4 – Новая надежда;https://www.kinopoisk.ru/film/333/;Star Wars, 1977;СШАфантастика, боевик
История игрушек;https://www.kinopoisk.ru/film/482/;Toy Story, 1995;СШАмультфильм, фэнтези
Темный рыцарь: Возрождение легенды;https://www.kinopoisk.ru/film/437410/;Dark Knight Rises, 2012;Великобритания, СШАфантастика, боевик
В поисках Немо;https://www.kinopoisk.ru/film/7908/;Finding Nemo, 2003;СШАмультфильм, комедия
Белый Бим Черное ухо;https://www.kinopoisk.ru/film/46068/;1976;СССРдрама
Доктор Лиза;https://www.kinopoisk.ru/film/1254059/;2020;Россиядрама, биография
Умница Уилл Хантинг;https://www.kinopoisk.ru/film/539/;Good Will Hunting, 1997;СШАдрама, мелодрама
Таксист;https://www.kinopoisk.ru/film/1008113/;Taeksi unjeonsa, 2017;Корея Южнаябиография, история
В погоне за счастьем;https://www.kinopoisk.ru/film/104938/;Pursuit of Happyness, 2006;СШАдрама, биография
Дело храбрых;https://www.kinopoisk.ru/film/965754/;Only the Brave, 2017;СШАбоевик, драма
Песнь моря;https://www.kinopoisk.ru/film/714248/;Song of the Sea, 2014;Ирландия, Даниямультфильм, фэнтези
Иди и смотри;https://www.kinopoisk.ru/film/42571/;1985;СССРдрама, военный
Тренер Картер;https://www.kinopoisk.ru/film/77531/;Coach Carter, 2005;США, Германиябиография, спорт
Вечное сияние чистого разума;https://www.kinopoisk.ru/film/5492/;Eternal Sunshine of the Spotless Mind, 2004;СШАмелодрама, фантастика
Военный ныряльщик;https://www.kinopoisk.ru/film/751/;Men of Honor, 2000;СШАдрама, биография
Исчезнувшая;https://www.kinopoisk.ru/film/692861/;Gone Girl, 2014;СШАтриллер, драма
Терминал;https://www.kinopoisk.ru/film/6877/;Terminal, 2004;СШАдрама, мелодрама
Хатико: Самый верный друг;https://www.kinopoisk.ru/film/387556/;Hachi: A Dog's Tale, 2008;Великобритания, СШАдрама, семейный
Балто;https://www.kinopoisk.ru/film/7097/;Balto, 1995;СШАмультфильм, драма
Человек дождя;https://www.kinopoisk.ru/film/519/;Rain Man, 1988;СШАдрама
Шерлок Холмс и доктор Ватсон: Кровавая надпись;https://www.kinopoisk.ru/film/77265/;1979;СССРкриминал, детектив
Последний самурай;https://www.kinopoisk.ru/film/6764/;Last Samurai, 2003;США, Новая Зеландиябоевик, драма
Берегись автомобиля;https://www.kinopoisk.ru/film/46089/;1966;СССРмелодрама, комедия
Унесенные ветром;https://www.kinopoisk.ru/film/456/;Gone with the Wind, 1939;СШАмелодрама, история
Хоббит: Пустошь Смауга;https://www.kinopoisk.ru/film/408876/;Hobbit: The Desolation of Smaug, 2013;Новая Зеландия, СШАфэнтези, приключения
Спасти рядового Райана;https://www.kinopoisk.ru/film/371/;Saving Private Ryan, 1998;СШАдрама, военный
Звёздные войны: Эпизод 6 – Возвращение Джедая;https://www.kinopoisk.ru/film/447/;Star Wars: Episode VI - Return of the Jedi, 1983;СШАфантастика, боевик
Красавица и чудовище;https://www.kinopoisk.ru/film/540/;Beauty and the Beast, 1991;СШАмультфильм, мюзикл
Стражи Галактики;https://www.kinopoisk.ru/film/689066/;Guardians of the Galaxy, 2014;СШАфантастика, боевик
Люди в черном;https://www.kinopoisk.ru/film/1091/;Men in Black, 1997;СШАфантастика, боевик
Далласский клуб покупателей;https://www.kinopoisk.ru/film/260162/;Dallas Buyers Club, 2013;СШАдрама, биография
Дурак;https://www.kinopoisk.ru/film/808639/;2014;Россиядрама
Пятый элемент;https://www.kinopoisk.ru/film/2656/;Fifth Element, 1997;Франция, Великобританияфантастика, боевик
